Date,Close,Open,High,Low,Volume (in Billion)
2000-02-23,"1,696.40","1,745.20","1,818.15","1,689.20",27.91
2000-02-24,"1,732.00","1,696.40","1,751.60","1,693.10",23.49
2000-02-25,"1,710.45","1,734.05","1,757.05","1,699.25",19.46
2000-02-28,"1,722.55","1,711.15","1,726.65","1,670.75",27.27
2000-02-29,"1,654.80","1,722.85","1,783.30","1,626.35",49.50
2000-03-01,"1,712.70","1,661.50","1,727.90","1,630.00",37.59
2000-03-02,"1,696.55","1,713.65","1,773.85","1,690.05",42.28
2000-03-03,"1,656.00","1,696.45","1,719.15","1,644.40",29.50
2000-03-06,"1,688.50","1,656.00","1,721.00","1,656.00",32.43
2000-03-07,"1,702.75","1,711.85","1,730.85","1,684.90",36.86
2000-03-08,"1,666.35","1,717.75","1,765.25","1,654.45",30.25
2000-03-09,"1,646.25","1,667.45","1,692.25","1,595.45",27.73
2000-03-10,"1,602.75","1,647.85","1,680.45","1,588.20",23.71
2000-03-13,"1,560.70","1,601.40","1,645.00","1,553.45",32.02
2000-03-14,"1,567.05","1,561.55","1,571.30","1,503.20",37.97
2000-03-15,"1,620.10","1,546.80","1,630.95","1,538.70",28.90
2000-03-16,"1,562.20","1,620.40","1,621.20","1,554.30",33.98
2000-03-21,"1,556.60","1,563.30","1,585.25","1,542.65",30.77
2000-03-22,"1,589.60","1,551.05","1,604.00","1,551.05",26.94
2000-03-23,"1,553.40","1,590.30","1,629.20","1,544.50",21.31
2000-03-24,"1,569.55","1,554.20","1,579.40","1,540.45",15.41
2000-03-27,"1,562.95","1,570.45","1,593.30","1,555.75",19.05
2000-03-28,"1,568.60","1,563.30","1,575.85","1,527.55",28.17
2000-03-29,"1,558.25","1,569.30","1,609.40","1,553.40",32.29
2000-03-30,"1,549.50","1,556.95","1,557.85","1,489.10",38.87
2000-03-31,"1,528.45","1,545.55","1,545.55","1,493.90",49.68
2000-04-03,"1,534.75","1,528.70","1,555.50","1,510.75",50.91
2000-04-04,"1,428.10","1,534.05","1,534.05","1,420.85",42.18
2000-04-05,"1,434.65","1,428.50","1,467.40","1,391.65",49.40
2000-04-06,"1,452.95","1,436.15","1,475.25","1,381.05",40.87
2000-04-07,"1,557.15","1,453.30","1,558.05","1,453.30",49.47
2000-04-10,"1,613.00","1,557.55","1,636.95","1,557.55",67.96
2000-04-11,"1,624.65","1,613.00","1,631.60","1,550.85",34.97
2000-04-12,"1,592.70","1,624.40","1,628.55","1,586.00",35.32
2000-04-13,"1,518.65","1,587.95","1,587.95","1,502.70",20.99
2000-04-17,"1,443.55","1,518.55","1,518.55","1,412.45",47.79
2000-04-18,"1,414.80","1,443.55","1,478.85","1,410.00",30.06
2000-04-19,"1,404.95","1,417.75","1,469.05","1,375.05",38.87
2000-04-20,"1,415.65","1,405.70","1,425.55","1,339.75",43.87
2000-04-24,"1,388.00","1,416.05","1,431.80","1,371.85",34.27
2000-04-25,"1,359.45","1,383.80","1,383.80","1,311.30",40.51
2000-04-26,"1,436.10","1,362.50","1,439.05","1,362.50",45.03
2000-04-27,"1,416.90","1,436.15","1,455.85","1,400.65",51.77
2000-04-28,"1,406.55","1,419.90","1,438.00","1,396.55",27.46
2000-05-02,"1,333.45","1,410.00","1,421.50","1,319.65",39.38
2000-05-03,"1,316.05","1,330.15","1,342.15","1,258.10",34.71
2000-05-04,"1,380.55","1,317.95","1,385.15","1,317.95",29.96
2000-05-05,"1,422.40","1,381.90","1,428.60","1,381.90",35.56
2000-05-08,"1,365.05","1,423.25","1,436.60","1,358.80",23.97
2000-05-09,"1,378.55","1,362.45","1,385.70","1,328.05",24.90
2000-05-10,"1,363.15","1,380.40","1,391.35","1,359.65",22.18
2000-05-11,"1,304.55","1,359.10","1,359.10","1,295.95",23.83
2000-05-12,"1,282.80","1,305.30","1,326.30","1,276.40",23.38
2000-05-15,"1,299.25","1,281.30","1,311.70","1,220.70",21.76
2000-05-16,"1,306.85","1,300.20","1,310.45","1,287.80",17.41
2000-05-17,"1,311.65","1,310.80","1,347.70","1,303.75",25.38
2000-05-18,"1,293.40","1,311.30","1,316.20","1,289.55",23.24
2000-05-19,"1,268.00","1,293.45","1,293.45","1,252.70",27.40
2000-05-22,"1,233.00","1,267.85","1,267.85","1,228.40",18.68
2000-05-23,"1,224.40","1,229.25","1,230.90","1,203.20",21.79
2000-05-24,"1,235.90","1,224.50","1,246.25","1,201.50",30.85
2000-05-25,"1,247.65","1,237.00","1,269.80","1,235.70",35.46
2000-05-26,"1,275.35","1,247.10","1,278.75","1,232.85",33.05
2000-05-29,"1,311.05","1,273.70","1,317.75","1,267.40",47.53
2000-05-30,"1,344.85","1,310.80","1,347.30","1,304.95",35.58
2000-05-31,"1,380.45","1,355.35","1,410.75","1,355.35",46.44
2000-06-01,"1,349.00","1,380.40","1,380.40","1,345.10",29.62
2000-06-02,"1,389.25","1,350.15","1,395.35","1,350.15",40.14
2000-06-05,"1,404.60","1,390.95","1,461.05","1,390.95",46.68
2000-06-06,"1,421.75","1,405.45","1,426.15","1,392.70",28.12
2000-06-07,"1,430.35","1,423.40","1,442.70","1,413.80",32.12
2000-06-08,"1,463.65","1,430.50","1,468.70","1,430.50",39.57
2000-06-09,"1,467.20","1,464.30","1,485.50","1,458.90",55.39
2000-06-12,"1,440.40","1,464.40","1,477.55","1,437.15",28.47
2000-06-13,"1,432.90","1,438.80","1,438.80","1,411.90",37.25
2000-06-14,"1,435.50","1,434.95","1,459.15","1,423.95",37.37
2000-06-15,"1,445.25","1,437.00","1,452.80","1,422.40",30.33
2000-06-16,"1,477.30","1,443.15","1,480.85","1,441.60",39.63
2000-06-19,"1,498.75","1,477.55","1,510.45","1,477.55",37.01
